sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,package_color,package_size,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,videoid,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
4798837,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Pepsico Pepsi 1.5 L,1,,,0,/p/e/pepsi.jpg,Pepsi 1.5 L,Pepsisco,,Pepsico Pepsi 1.5 L,Pepsico Pepsi 1.5 L,Pepsico Pepsi 1.5 L,,,Use config,Use config,Pepsico Pepsi 1.5 L,,,Block after Info Column,,,,2.49,0,Pepsico Pepsi 1.5 L,/p/e/pepsi.jpg,Pepsi 1.5 L,,,,1,2,/p/e/pepsi.jpg,Pepsi 1.5 L,2015-08-26 22:25,pepsi-1-5-l,pepsi-1-5-l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/p/e/pepsi.jpg,Pepsi 1.5 L,1,0
2862795,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Pepsico Mirinda 1.5 L,1,,,0,/3/3/335716_16_52_16.jpg,,Pepsisco,,Pepsico Mirinda 1.5 L,Pepsico Mirinda 1.5 L,Pepsico Mirinda 1.5 L,,,Use config,Use config,Pepsico Mirinda 1.5 L,,,Block after Info Column,,,,2.49,0,Pepsico Mirinda 1.5 L,/3/3/335716_16_52_16.jpg,,,,,1,2,/3/3/335716_16_52_16.jpg,,2015-08-26 22:25,mirinda-1-5-l,mirinda-1-5-l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/3/3/335716_16_52_16.jpg,Mirinda 1.5 L,1,0
7121435,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Pepsico Pepsi Max 1.5 L,1,,,0,/p/e/pepsi-max.jpg,,Pepsisco,,Pepsico Pepsi Max 1.5 L,Pepsico Pepsi Max 1.5 L,Pepsico Pepsi Max 1.5 L,,,Use config,Use config,Pepsico Pepsi Max 1.5 L,,,Block after Info Column,,,,2.49,0,Pepsico Pepsi Max 1.5 L,/p/e/pepsi-max.jpg,,,,,1,2,/p/e/pepsi-max.jpg,,2015-08-26 22:25,pepsi-max-1-5-l,pepsi-max-1-5-l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/p/e/pepsi-max.jpg,Pepsi Max 1.5 L,1,0
1897543,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Pepsico 7 UP 1.5 L,1,,,0,/7/u/7up-400x400.jpg,,Pepsisco,,Pepsico 7 UP 1.5 L,Pepsico 7 UP 1.5 L,Pepsico 7 UP 1.5 L,,,Use config,Use config,Pepsico 7 UP 1.5 L,,,Block after Info Column,,,,2.59,0,Pepsico 7 UP 1.5 L,/7/u/7up-400x400.jpg,,,,,1,2,/7/u/7up-400x400.jpg,,2015-08-26 22:25,7-up-1-5-l,7-up-1-5-l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/7/u/7up-400x400.jpg,7 UP 1.5 L,1,0
4365346,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Pepsico 7 UP Diet 1.5 L,1,,,0,/d/5/d5.jpg,7 UP Diet 1.5 L,Pepsisco,,Pepsico 7 UP Diet 1.5 L,Pepsico 7 UP Diet 1.5 L,Pepsico 7 UP Diet 1.5 L,,,Use config,Use config,Pepsico 7 UP Diet 1.5 L,,,Block after Info Column,,,,2.59,0,Pepsico 7 UP Diet 1.5 L,/d/5/d5.jpg,7 UP Diet 1.5 L,,,,1,2,/d/5/d5.jpg,7 UP Diet 1.5 L,2015-08-26 22:25,7-up-1-5-l,7-up-1-5-l-1512.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/d/5/d5.jpg,7 UP Diet 1.5 L,1,0
134508,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Canada Dry Mott's Cplus Orange Burst 2 L,1,,,0,/c/p/cplus.jpg,Cplus Orange Burst 2L,Canada Dry,,Canada Dry Mott's Cplus Orange Burst 2 L,Canada Dry Mott's Cplus Orange Burst 2 L,Canada Dry Mott's Cplus Orange Burst 2 L,,,Use config,Use config,Canada Dry Mott's Cplus Orange Burst 2 L,,,Block after Info Column,,,,2.49,0,Canada Dry Mott's Cplus Orange Burst 2 L,/c/p/cplus.jpg,Cplus Orange Burst 2L,,,,1,2,/c/p/cplus.jpg,Cplus Orange Burst 2L,2017-11-26 15:07,cplus-orange-burst-2l,cplus-orange-burst-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/c/p/cplus.jpg,Cplus Orange Burst 2L,1,0
1837964,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Canada Dry Ginger Ale 2 L,1,,,0,/0/0/0007800015246.jpg,Ginger Ale,Canada Dry,,Canada Dry Ginger Ale 2 L,Canada Dry Ginger Ale 2 L,Canada Dry Ginger Ale 2 L,,,Use config,Use config,Canada Dry Ginger Ale 2 L,,,Block after Info Column,,,,2.49,0,Canada Dry Ginger Ale 2 L,/0/0/0007800015246.jpg,Ginger Ale,,,,2,2,/0/0/0007800015246.jpg,Ginger Ale,2017-11-26 15:07,ginger-ale,ginger-ale.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/0/0/0007800015246.jpg,Ginger Ale,1,0
3943162,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Canada Dry Ginger Ales Diet 2 L,1,,,0,/0/0/0007800014846.jpg,Ginger Ale Diet,Canada Dry,,Canada Dry Ginger Ales Diet 2 L,Canada Dry Ginger Ales Diet 2 L,Canada Dry Ginger Ales Diet 2 L,,,Use config,Use config,Canada Dry Ginger Ales Diet 2 L,,,Block after Info Column,,,,2.49,0,Canada Dry Ginger Ales Diet 2 L,/0/0/0007800014846.jpg,Ginger Ale Diet,,,,1,2,/0/0/0007800014846.jpg,Ginger Ale Diet,2017-11-26 15:06,ginger-ale-diet,ginger-ale-diet.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/0/0/0007800014846.jpg,Ginger Ale Diet,1,0
3397366,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Coca-Cola 2L,1,,,0,/c/o/coca.jpg,,Coca-Cola,,Coca-Cola 2L,Coca-Cola 2L,Coca-Cola 2L,,,Use config,Use config,Coca-Cola 2L,,,Block after Info Column,,,,2.49,0,Coca-Cola 2L,/c/o/coca.jpg,,,,,1,2,/c/o/coca.jpg,,2015-08-26 22:25,coca-cola-2l,coca-cola-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/c/o/coca.jpg,Coca-Cola 2L,1,0
8558393,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Coke Diet 2L,1,,,0,/c/o/cokediet.jpg,,Coca-Cola,,Coke Diet 2L,Coke Diet 2L,Coke Diet 2L,,,Use config,Use config,Coke Diet 2L,,,Block after Info Column,,,,2.49,0,Coke Diet 2L,/c/o/cokediet.jpg,,,,,1,2,/c/o/cokediet.jpg,,2015-08-26 22:25,coke-diet-2l,coke-diet-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/c/o/cokediet.jpg,Coke Diet 2L,1,0
